codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4305934;Coronel Pilar - RS;2021;0;0
4305934;Coronel Pilar - RS;2022;0;0
4305934;Coronel Pilar - RS;2023;0;0
4305959;Cotiporã - RS;2019;3626;979
4305959;Cotiporã - RS;2020;2000;540
4305959;Cotiporã - RS;2021;3300;792
4305959;Cotiporã - RS;2022;1200;408
4305959;Cotiporã - RS;2023;3000;810
4305975;Coxilha - RS;2019;3900;124800
4305975;Coxilha - RS;2020;2220;71040
4305975;Coxilha - RS;2021;3900;124800
4305975;Coxilha - RS;2022;2041;65312
4305975;Coxilha - RS;2023;2640;84480
4306007;Crissiumal - RS;2019;2850;31350
4306007;Crissiumal - RS;2020;2100;23100
4306007;Crissiumal - RS;2021;3000;36000
4306007;Crissiumal - RS;2022;900;10800
4306007;Crissiumal - RS;2023;1800;21600
4306056;Cristal - RS;2019;2580;24510
4306056;Cristal - RS;2020;780;7800
4306056;Cristal - RS;2021;3000;36000
4306056;Cristal - RS;2022;3720;52080
4306056;Cristal - RS;2023;1920;32640
4306072;Cristal do Sul - RS;2019;3318;16260
4306072;Cristal do Sul - RS;2020;1800;8820
4306072;Cristal do Sul - RS;2021;2580;12644
4306072;Cristal do Sul - RS;2022;1547;7580
4306072;Cristal do Sul - RS;2023;2426;12039
4306106;Cruz Alta - RS;2019;3639;334800
4306106;Cruz Alta - RS;2020;2142;197040
4306106;Cruz Alta - RS;2021;3920;358650
4306106;Cruz Alta - RS;2022;1337;123240
4306106;Cruz Alta - RS;2023;1943;179520
4306130;Cruzaltense - RS;2019;3600;26424
4306130;Cruzaltense - RS;2020;2400;17640
4306130;Cruzaltense - RS;2021;3500;25725
4306130;Cruzaltense - RS;2022;1350;9923
4306130;Cruzaltense - RS;2023;2100;15750
4306205;Cruzeiro do Sul - RS;2019;3400;10200
4306205;Cruzeiro do Sul - RS;2020;1800;5400
4306205;Cruzeiro do Sul - RS;2021;3600;11520
4306205;Cruzeiro do Sul - RS;2022;1800;5760
4306205;Cruzeiro do Sul - RS;2023;1800;6660
4306304;David Canabarro - RS;2019;3242;22694
4306304;David Canabarro - RS;2020;2126;14882
4306304;David Canabarro - RS;2021;3600;25200
4306304;David Canabarro - RS;2022;2423;16961
4306304;David Canabarro - RS;2023;2423;13327
4306320;Derrubadas - RS;2019;2868;27246
4306320;Derrubadas - RS;2020;2750;27500
4306320;Derrubadas - RS;2021;3100;31000
4306320;Derrubadas - RS;2022;1080;10800
4306320;Derrubadas - RS;2023;2400;24000
4306353;Dezesseis de Novembro - RS;2019;3259;3846
4306353;Dezesseis de Novembro - RS;2020;2385;2743
